,Age_Group,C_EDU_Encoded,C_HSE_Encoded,C_OCC_Encoded,INCM_TYP,NUM_PRD,IS_CASA,CASATD_CNT,CASA_DIFF,DRvCR,IS_TD,IS_FUNDS,IS_CC,IS_LOAN,CC_MTH_TRN_AMT_DIFF,CC_LMT,LoanAsset_ratio,AssetvCValue,Customer_Bank_engagement,C_seg
0,3,3,2,2,6,3,1,8,3988.2,1020767.97,1,0,1,0,0,34500,1118960000000000.0,0.0,0.0,0
1,4,0,2,2,2,4,1,13,34422.3,8.3264195402,1,0,1,0,8257,4000,6272860000000000.0,0.08302946589653848,629581.7133333,0
2,4,0,0,2,3,4,1,1,0.0,0.41066,0,1,1,0,401,5000,641610000000000.0,0.5057344714129054,64127.58083333,0
3,4,0,0,1,2,3,1,1,0.0,5397.18,0,1,0,0,0,0,397920000000000.0,0.0,0.0,0
4,4,0,2,1,0,4,1,2,13740.68,3607.58,0,1,0,0,0,0,672580000000000.0,0.0,0.0,0
5,4,0,0,1,0,3,1,1,0.0,26.70592,0,0,0,0,0,0,1299450000000000.0,0.0,0.0,0
6,4,0,0,1,0,5,1,2,10642.49,25290.15,0,1,0,0,0,0,355840000000000.0,0.0,0.0,0
7,4,0,0,1,0,4,1,1,0.0,15373.38,0,0,0,0,0,0,768980000000000.0,0.0,0.0,0
8,4,2,1,2,6,4,1,2,0.0,9.0052631579,1,0,1,0,366,15000,216520000000000.0,0.08265719450362347,21829.11416667,0
9,4,0,0,1,0,2,1,4,0.0,0.0,1,0,0,0,0,0,2041440000000000.0,0.0,0.0,0
10,4,0,0,2,2,5,1,1,0.0,70308.0,0,1,1,0,0,5000,466290000000000.0,0.29972578658378046,43977.93333333,0
11,4,0,0,0,0,1,0,3,0.0,,1,0,0,0,0,0,810020000000000.0,0.0,0.0,0
12,4,0,0,2,0,3,1,7,0.0,320875.1,1,0,0,0,0,0,5322320000000000.0,0.0,0.0,0
13,4,2,1,2,6,3,1,2,0.0,0.2,1,1,0,0,0,0,1577290000000000.0,0.0,0.0,0
14,4,0,0,1,3,3,1,2,0.0,100000.0,1,0,0,0,0,0,1.4136097076236176,0.0,0.0,0
15,3,0,0,1,0,3,1,2,0.0,,1,0,0,0,0,0,1332020000000000.0,0.0,0.0,0
16,3,0,0,2,0,4,1,3,61338.01,23193.03,1,1,0,0,0,0,1796840000000000.0,0.0,0.0,0
17,3,0,0,2,0,4,1,6,0.0,30.0,1,0,0,0,0,0,1638340000000000.0,0.0,0.0,0
18,3,0,0,0,4,3,1,1,0.0,64738.67,0,0,1,0,107,8000,15720000000000.0,0.08157186714617612,1605.945833333,0
19,3,0,3,0,1,4,1,4,0.0,112010.43,1,0,0,0,0,0,797470000000000.0,0.0,0.0,0
20,3,0,0,2,3,4,1,1,0.0,143489.23,0,0,1,0,1191,4000,2.978633e+16,0.08332436409731067,2978953.63083333,0
21,4,0,0,1,0,4,1,2,0.0,2109.73,1,0,0,0,0,0,689180000000000.0,0.0,0.0,0
22,3,0,1,2,2,3,1,3,0.0,52000.0,1,0,0,0,0,0,841580000000000.0,0.0,0.0,0
23,3,1,0,2,2,3,1,1,0.0,10155.6,0,0,0,0,0,0,430120000000000.0,0.0,0.0,0
24,3,0,0,0,1,4,1,3,8654.24,2.10493,0,1,0,0,0,0,622980000000000.0,0.0,0.0,0
25,4,2,1,2,2,1,1,1,0.0,,0,0,0,0,0,0,11320000000000.0,0.0,0.0,0
26,3,0,0,2,0,3,1,1,0.0,,0,0,0,0,0,0,20590000000000.0,0.0,0.0,0
27,3,2,3,2,6,4,1,1,0.0,24231.6,0,1,1,0,1552,18000,1309780000000000.0,0.09484794995393583,171735.41666667,0
28,3,0,0,2,5,2,0,0,0.0,,0,0,0,0,0,0,300000000000000.0,0.0,0.0,0
29,2,0,0,2,0,3,1,3,118247.01,,0,1,0,0,0,0,2524210000000000.0,0.0,0.0,0
30,4,0,0,2,0,4,1,2,0.0,5.9592857143,1,0,0,0,0,0,2240780000000000.0,0.0,0.0,0
31,3,0,0,0,0,3,1,2,0.0,0.0,1,0,0,0,0,0,697500000000000.0,0.0,0.0,0
33,4,0,1,0,2,3,1,2,0.0,17.177566667,1,0,0,0,0,0,545520000000000.0,0.0,0.0,0
34,4,0,0,1,0,2,1,3,0.0,29.0,1,0,0,0,0,0,1282140000000000.0,0.0,0.0,0
35,4,0,0,1,3,3,1,1,0.0,7200.0,0,0,1,0,0,4000,1913470000000000.0,0.0,0.0,0
36,4,0,0,0,2,2,1,1,0.0,,0,0,0,0,0,0,25370000000000.0,0.0,0.0,0
37,3,3,0,2,2,4,1,2,0.0,80000.0,1,0,1,0,3384,4000,880090000000000.0,0.08288189539099451,88488.36416667,0
38,4,0,0,1,2,3,1,1,0.0,5393.87,0,0,1,0,310,4000,19430000000000.0,0.07984430575863127,2027.905,0
39,3,2,2,2,7,1,0,0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0
40,3,0,0,1,0,1,1,1,0.0,60000.0,0,0,0,0,0,0,68270000000000.0,0.0,0.0,0
41,4,0,0,1,0,4,1,1,0.0,,0,1,0,0,0,0,1397550000000000.0,0.0,0.0,0
42,3,0,0,0,0,2,1,1,0.0,186.44067797,0,0,0,0,0,0,70120000000000.0,0.0,0.0,0
43,3,0,0,2,4,4,1,2,0.0,4.2175106667,1,1,0,0,0,0,831600000000000.0,0.0,0.0,0
44,4,2,1,1,6,2,1,1,0.0,210.98,0,0,0,0,0,0,3587810000000000.0,0.0,0.0,0
45,2,2,0,2,0,3,1,4,118670.59999999999,100244.43,1,0,0,0,0,0,2313300000000000.0,0.0,0.0,0
46,3,2,1,2,4,3,1,1,0.0,,0,0,1,0,845,10700,41140000000000.0,0.0784930705202825,4367.68916667,0
47,3,1,3,1,4,4,1,1,0.0,6.1111302204,0,1,1,0,253,5000,492430000000000.0,0.5369728073122426,66589.23583333,0
48,4,0,0,1,5,4,1,4,0.0,195000.0,1,0,1,0,1484,10000,839200000000000.0,0.08261808775117199,84646.51666667,0
49,4,0,0,2,5,2,1,1,0.0,,0,0,0,0,0,0,2398100000000000.0,0.0,0.0,0
50,3,0,3,2,6,6,1,3,5452.210000000001,6019.66,1,0,1,0,5780,90300,322640000000000.0,0.08205743827206201,32765.66666667,0
51,3,1,1,2,6,6,1,1,0.0,,0,0,1,1,7900,25000,0.06667200042670077,0.05565180545291342,164962.0575,0
52,4,0,0,1,0,3,1,1,0.0,38.3825,0,0,0,0,0,0,30680000000000.0,0.0,0.0,0
53,3,0,0,2,1,4,1,5,0.0,24800.0,1,0,0,0,0,0,2280490000000000.0,0.0,0.0,0
54,3,0,0,1,3,1,0,1,0.0,,1,0,0,0,0,0,500000000000000.0,0.0,0.0,0
55,3,3,2,2,6,7,1,4,1707.6399999999999,170084.49,1,1,1,0,11897,66000,1805380000000000.0,0.09330515497127619,182880.3241667,0
56,4,0,0,0,0,5,1,3,0.0,0.8373117647,1,1,0,0,0,0,581220000000000.0,0.0,0.0,0
57,4,0,0,1,0,1,1,1,0.0,25000.0,0,0,0,0,0,0,118440000000000.0,0.0,0.0,0
58,3,0,1,0,2,4,1,1,0.0,,0,0,1,0,0,13000,1045130000000000.0,0.0,0.0,0
59,3,2,1,2,4,2,0,1,0.0,,1,0,1,0,2077,10700,1200000000000000.0,0.0820397247875144,121892.1691667,0
60,3,0,0,1,0,1,1,1,0.0,39000.0,0,0,0,0,0,0,995450000000000.0,0.0,0.0,0
61,3,0,0,0,2,5,1,2,0.0,116126.44,1,1,0,0,0,0,799720000000000.0,0.0,0.0,0
62,4,0,0,2,2,5,1,2,8003.81,,0,1,1,0,0,4000,228380000000000.0,0.0,0.0,0
63,4,0,0,1,0,3,1,5,0.0,45800.99,1,0,0,0,0,0,4461070000000000.0,0.0,0.0,0
64,3,3,3,2,5,4,1,2,12983.44,90045.47,0,1,1,0,13914,20000,1433260000000000.0,0.22709803059680803,401087.0433333,0
65,4,0,0,1,0,2,1,2,0.0,45000.0,1,0,0,0,0,0,606320000000000.0,0.0,0.0,0
66,3,0,0,2,0,3,1,1,0.0,114005.36,0,1,0,0,0,0,328680000000000.0,0.0,0.0,0
67,2,0,0,2,2,3,1,3,0.0,0.0,1,0,0,0,0,0,1456720000000000.0,0.0,0.0,0
68,3,1,0,2,4,4,1,4,6973.54,126150.0,1,0,1,0,0,8000,1188870000000000.0,0.0,0.0,0
69,3,1,0,2,5,5,1,3,0.0,1748.75,1,0,1,0,298,10000,506560000000000.0,0.08288747807422407,50928.48083333,0
70,3,0,0,0,0,4,1,3,28861.41,1.8181818182,1,0,0,0,0,0,1662680000000000.0,0.0,0.0,0
71,2,2,1,2,2,3,1,2,2591.7699999999995,644.51,0,0,1,0,102,5500,114860000000000.0,0.08302758815940735,11528.296666667,0
72,3,0,0,2,1,2,1,2,0.0,2000.0,1,0,0,0,0,0,824090000000000.0,0.0,0.0,0
73,3,3,3,2,4,4,1,1,0.0,3000.0,0,1,1,0,0,11000,113910000000000.0,0.0,0.0,0
74,3,1,2,2,1,5,1,2,0.0,3000.0,1,0,1,0,33,6000,410650000000000.0,0.08331875205996375,41072.1866666667,0
76,3,0,0,2,0,3,1,3,0.0,30000.0,1,0,0,0,0,0,782160000000000.0,0.0,0.0,0
77,4,0,0,1,0,2,1,3,0.0,91000.0,1,0,0,0,0,0,832190000000000.0,0.0,0.0,0
78,3,1,1,2,6,5,1,2,0.0,102953.68,1,0,1,0,3168,79600,1520280000000000.0,0.08287062078278433,152876.85666667,0
79,3,0,0,0,3,5,0,0,0.0,,0,1,1,0,4,5000,0.442715355805243,0.9304666936359155,153381.86333333,0
80,3,2,1,2,6,5,1,3,6484.15,147638.48,0,1,1,0,0,33400,923150000000000.0,0.20083170419796317,93871.79,0
81,4,0,0,2,0,2,0,3,0.0,,1,0,0,0,0,0,1550000000000000.0,0.0,0.0,0
82,3,2,0,2,4,5,1,3,0.0,26.86206,1,0,1,0,406,7500,1009670000000000.0,0.08315372582209123,101185.08333333,0
83,2,2,3,2,6,2,0,0,0.0,,0,0,1,0,603,45000,0.0,1e-10,1023.6575,0
84,4,2,1,1,5,2,1,2,6553.530000000001,,0,0,0,0,0,0,164230000000000.0,0.0,0.0,0
85,4,0,0,1,0,2,1,1,0.0,,0,1,0,0,0,0,430750000000000.0,0.0,0.0,0
86,3,0,0,1,0,3,1,1,0.0,2.1539,0,0,0,0,0,0,692260000000000.0,0.0,0.0,0
87,4,0,0,0,0,3,1,3,0.0,3500.0,1,0,0,0,0,0,1072040000000000.0,0.0,0.0,0
88,2,3,1,2,3,6,1,3,6134.65,4643.32,1,0,1,0,813,8000,638830000000000.0,0.08301595331977028,64127.2325,0
89,3,0,1,2,2,6,1,5,323276.94,5.0782956615,1,0,1,0,2980,5000,3.136381072416909,0.08318579864250737,604674.0658333299,0
90,4,0,0,0,0,3,1,1,0.0,,0,1,0,0,0,0,569250000000000.0,0.0,0.0,0
91,3,3,2,2,0,5,1,2,12035.810000000001,14.927244,0,0,0,0,0,0,144270000000000.0,0.0,0.0,0
92,3,0,0,0,0,2,0,0,0.0,,0,1,0,0,0,0,291690000000000.0,0.0,0.0,0
93,3,0,0,2,0,2,1,4,0.0,45000.0,1,0,0,0,0,0,1276670000000000.0,0.0,0.0,0
94,3,0,2,2,3,5,1,2,0.0,,1,0,0,0,0,0,2261700000000000.0,0.0,0.0,0
95,4,1,1,2,1,5,1,3,2954.7799999999997,44039.16,1,0,1,0,309,5000,149580000000000.0,0.0828964249021119,15036.836666667,0
96,4,0,0,2,0,2,1,1,0.0,0.0,0,0,0,0,0,0,160460000000000.0,0.0,0.0,0
98,3,0,0,2,0,2,1,4,0.0,50000.0,1,0,0,0,0,0,2446190000000000.0,0.0,0.0,0
99,2,0,0,2,0,4,1,2,0.0,20142.8,1,1,0,0,0,0,1024220000000000.0,0.0,0.0,0
100,3,0,2,0,0,3,1,4,0.0,179145.0,1,0,0,0,0,0,810180000000000.0,0.0,0.0,0
101,2,1,1,0,2,4,0,0,0.0,,0,1,0,0,0,0,361070000000000.0,0.0,0.0,0
102,3,1,1,2,5,6,1,2,0.0,4978.69,1,0,1,0,455,13300,190960000000000.0,0.08242007019849404,19307.595,0
104,3,2,1,0,6,3,1,1,0.0,237520.66,0,0,1,0,1919,14700,465150000000000.0,0.08199988988537871,47271.405,0
106,4,1,0,0,3,5,1,3,0.0,41980.44,1,0,0,0,0,0,838580000000000.0,0.0,0.0,0
107,2,0,3,2,6,3,1,3,32060.760000000002,130168.86,0,0,1,0,0,9000,354990000000000.0,0.0,0.0,0
108,3,0,0,2,4,2,1,1,0.0,1713.31,0,0,0,0,0,0,885840000000000.0,0.0,0.0,0
109,3,1,2,2,3,3,1,1,0.0,10000.0,0,0,0,0,0,0,177630000000000.0,0.0,0.0,0
110,3,0,1,2,2,3,1,5,0.0,4.7272727273,1,0,0,0,0,0,2151140000000000.0,0.0,0.0,0
111,4,0,0,1,0,2,1,1,0.0,,0,0,0,0,0,0,701670000000000.0,0.0,0.0,0
112,3,0,0,2,0,4,1,3,0.0,2.5009375,1,0,0,0,0,0,508560000000000.0,0.0,0.0,0
114,2,2,2,2,3,5,1,1,0.0,110655.25,0,0,1,0,1428,7500,0.44969783869608876,5.223476829081416,248659.25,0
115,3,0,0,0,0,3,1,2,0.0,,1,0,0,0,0,0,1776000000000000.0,0.0,0.0,0
116,3,1,1,2,5,4,1,6,0.0,50.02,1,0,1,0,0,11500,3634870000000000.0,0.08333214798062663,363492.1708333333,0
117,1,2,0,2,0,2,1,1,0.0,9000.0,0,0,0,0,0,0,22440000000000.0,0.0,0.0,0
118,4,0,0,0,0,1,0,1,0.0,,1,0,0,0,0,0,200000000000000.0,0.0,0.0,0
119,3,0,0,0,0,3,1,4,0.0,51372.29,1,0,0,0,0,0,1349680000000000.0,0.0,0.0,0
120,2,2,1,2,6,3,1,2,1215.06,4.999705,0,0,1,0,1891,20000,53560000000000.0,0.0809255368209933,5515.35833333,0
121,4,1,1,1,3,3,1,2,167.14999999999986,6649.53,0,1,0,0,0,0,1277990000000000.0,0.0,0.0,0
122,3,0,0,0,0,4,1,3,0.0,47000.0,1,0,0,0,0,0,440210000000000.0,0.0,0.0,0
123,3,0,0,2,0,4,1,2,0.0,11.61259,1,0,0,0,0,0,893430000000000.0,0.0,0.0,0
124,2,1,1,2,3,5,1,3,7816.41,5030.66,1,1,0,0,0,0,1155890000000000.0,0.0,0.0,0
125,3,1,0,0,0,3,1,1,0.0,95874.0,0,1,0,0,0,0,963140000000000.0,0.0,0.0,0
127,3,3,2,2,6,5,1,1,0.0,126585.55,0,0,1,1,0,33400,0.07716486093143593,0.0,0.0,0
128,2,2,1,2,2,3,1,1,0.0,,0,0,1,0,786,7700,787890000000000.0,0.0830257676568331,79080.87083333,0
129,3,0,0,2,0,3,1,1,0.0,0.03545,0,0,0,0,0,0,306070000000000.0,0.0,0.0,0
130,3,0,0,2,2,3,1,1,0.0,,0,0,0,0,0,0,52840000000000.0,0.0,0.0,0
131,3,0,0,1,4,2,1,1,0.0,,0,0,0,0,0,0,566120000000000.0,0.0,0.0,0
132,2,0,1,2,0,4,1,1,0.0,26670.48,0,0,0,0,0,0,87350000000000.0,0.0,0.0,0
134,2,2,2,2,3,4,1,2,0.0,10.0,1,0,1,0,836,7000,643620000000000.0,0.08208148514819635,65343.60333333,0
135,3,3,1,2,6,6,1,2,0.0,1.1355405405,1,0,1,0,105,9200,221880000000000.0,0.08318315412417565,22228.058333333,0
